generation, v1, v2, v3, q, v4, v5, nef, nes
3000,2.45707,0.0454185,0.0398143,0.0,0.0391827,2.35139,514.433,432.0
3005,1.91741,0.0212292,0.0,0.0,0.0357967,2.34912,520.334,431.667
3010,1.72225,0.0291408,0.0,0.0,0.104487,2.3567,508.665,433.991
3015,1.76817,0.0364158,0.0,0.0,0.0261218,2.09433,511.795,432.942
3020,1.83706,0.0,0.00805675,0.0,0.0914263,1.96807,505.572,430.979
3025,1.70516,0.0,0.0563972,0.0140051,0.169792,2.27321,494.059,429.767
3030,1.10224,0.0,0.0118423,0.0,0.0914263,2.34267,520.334,437.991
3035,1.10224,0.0,0.0,0.0,0.0783654,2.76593,494.059,424.979
3040,1.03335,0.026227,0.0,0.0,0.156731,2.85452,507.63,425.991
3045,0.884087,0.0,0.0,0.0,0.339583,2.50017,473.435,422.941
3050,1.01039,0.0,0.0,0.0,0.58774,2.60844,510.747,437.772
3055,0.952977,0.0,0.0,0.0,0.169792,2.38205,488.737,420.979
3060,1.03335,0.0,0.0,0.0109599,0.235096,3.05138,498.004,434.943
3065,0.757789,0.0,0.0,0.0109599,0.104487,3.51401,529.162,440.0
3070,0.631491,0.0,0.0,0.0438395,0.130609,3.6334,495.04,432.979
3075,0.505193,0.0,0.0314704,0.153438,0.130609,3.34668,501.004,431.917
3080,0.987422,0.0,1.20411,1.21655,0.117548,3.76993,232.093,421.393
3085,0.998903,0.0,6.75791,6.70744,0.104487,5.13814,429.063,402.923
3090,0.895569,0.0,9.46834,9.80908,0.169792,5.15782,490.659,431.407
3095,0.826679,0.0,10.7165,10.5197,0.235096,5.2661,467.228,422.714
3100,0.642972,0.0,11.0816,10.8174,0.404888,5.85669,501.508,433.77
3105,0.711862,0.0115536,11.1532,10.927,0.417949,6.28853,517.635,444.998
3110,0.608527,0.0,11.1914,10.9163,0.57468,6.30947,510.747,432.813
3115,0.573202,0.0,11.1738,10.9489,0.548558,6.32916,492.596,431.667
3120,0.589124,0.0,11.1761,10.9379,0.480857,6.19136,506.085,432.887
3125,1.10848,0.0,11.1724,10.905,0.493918,5.86653,516.029,432.942
3130,1.09436,0.0,11.1659,0.0,0.592296,5.42359,518.711,441.964
3135,1.15441,0.0,11.1655,0.0,0.72638,5.54171,523.061,434.979
3140,1.19149,0.0,11.173,0.0,0.897014,5.45312,512.847,442.817
3145,0.964538,0.0,11.1641,0.0,1.13451,5.7681,503.532,432.998
3150,0.896528,0.0,11.1641,0.0,0.715478,5.34484,473.435,424.998
3155,0.985741,0.0,11.1655,0.0,1.06201,5.335,511.27,439.918
3160,1.143,0.0,11.1641,0.0,1.27315,5.42359,507.63,430.942
3165,1.21825,0.0,0.0,0.0,1.06225,5.06923,507.114,426.0
3170,1.00074,0.0,0.0,0.0,0.99958,5.17751,511.27,445.964
3175,0.915971,0.0,0.0,0.0,1.3536,5.21688,484.937,422.979
3180,0.791433,0.0,0.0,0.00998419,1.62784,5.61061,496.517,431.769
3185,0.716382,0.0,0.0,0.0499209,1.54952,5.41374,508.147,435.963
3190,0.624489,0.0,0.0,0.0998419,1.39509,4.95112,484.937,420.941
3195,0.367452,0.0,0.0,0.209668,1.12664,5.27594,491.142,428.159
3200,0.196108,0.0293773,0.0,0.559115,0.861169,5.64014,487.305,429.991
3205,0.2818,0.0582387,0.0,2.40619,0.784989,5.74841,488.737,435.917
3210,0.42402,0.0320141,0.0,5.10192,0.440069,5.85669,496.024,432.998
3215,0.590084,0.0112828,0.0,7.55803,0.37515,5.86653,502.012,441.919
3220,0.422107,0.0,0.0,8.7761,0.274279,5.98465,486.355,433.77
3225,0.351314,0.0,0.0328351,9.41509,0.274279,6.04313,490.659,431.852
3230,0.684895,0.0,0.339296,9.65471,0.198466,6.03386,505.061,439.991
3235,0.80761,0.0,0.897493,9.66469,0.326522,6.26026,495.04,426.81
3240,1.24602,0.0,3.76832,9.89612,0.14367,6.68351,445.536,423.538
3245,0.936946,0.0,6.7312,9.99236,0.261218,6.59493,495.531,426.941
3250,0.785107,0.0,9.15005,0.0181531,0.169792,6.40791,488.258,428.942
3255,1.2429,0.0,10.1351,0.103962,0.182063,6.26026,492.11,427.542
3260,1.32753,0.0,10.7261,0.475256,0.169792,5.79763,496.517,422.809
3265,2.2608,0.0,0.0,1.14358,0.182853,5.82716,458.219,412.804
3270,2.43098,0.010564,0.0,3.19312,0.117548,6.25041,487.781,432.721
3275,1.84196,0.0,0.0,6.96547,0.0783654,6.21104,469.868,422.884
3280,1.38839,0.0,0.0,9.06962,0.336844,6.43743,476.145,419.962
3285,1.34408,0.0,0.0,11.1834,0.235096,6.38679,494.059,429.963
3290,1.26464,0.0,0.0,12.6091,0.195913,6.2012,480.732,430.942
3295,1.22086,0.0334084,0.0186812,13.7824,0.0,6.22088,500.0,427.916
3300,1.32184,0.100482,0.0219173,14.4963,0.0,6.28979,490.177,429.544
3305,1.14848,0.100867,0.120545,14.8799,0.0,5.91508,541.215,443.964
3310,1.22808,0.0251205,0.372594,0.252052,0.0,6.40724,497.012,430.998
3315,0.984395,0.0262428,1.05203,0.176079,0.0,6.10277,462.894,422.941
3320,1.19042,0.0208684,2.50953,0.382714,0.0,6.71508,511.27,440.998
3325,1.26169,0.067209,4.71222,1.12544,0.0,7.82332,476.6,425.991
3330,1.49582,0.0336045,7.14503,1.97712,0.0,7.74967,461.183,425.962
3335,1.58981,0.0560075,8.85458,2.97074,0.00932935,8.19179,506.085,430.979
3340,1.88887,0.235232,9.60946,4.37971,0.0,8.33565,500.0,432.813
3345,1.88323,0.246433,10.3218,5.95102,0.0,7.94924,492.596,430.0
3350,2.05564,0.392053,10.8298,7.84334,0.0,7.47677,486.355,437.772
3355,1.88711,0.268836,11.1105,8.49567,0.0,7.02166,504.55,426.885
3360,2.11388,0.235232,11.2858,8.79007,0.00525798,6.02301,516.029,434.887
3365,2.47893,0.22403,0.395088,9.27614,0.0,6.09292,508.665,441.964
3370,2.58455,0.14562,0.924505,9.51777,0.0,6.18267,506.599,436.998
3375,2.2575,0.36965,1.05884,9.96437,0.0,5.93891,484.466,424.998
3380,2.06525,0.268836,1.43022,10.0957,0.0,6.54281,512.847,431.963
3385,2.01944,0.358448,2.11767,10.0836,0.0,7.17046,466.791,431.917
3390,1.98413,0.36965,2.79722,10.137,0.0,7.20693,492.11,426.979
3395,1.94638,0.380851,3.72173,10.1367,0.0,7.13223,500.0,434.979
3400,1.93671,0.313642,3.75333,10.1365,0.0,6.48432,519.251,429.916
3405,1.91235,0.481665,4.81217,10.1355,0.0,6.48489,509.704,430.979
3410,1.69842,0.483052,5.17565,10.1367,0.0119625,6.38067,497.507,432.887
3415,1.75985,0.24289,6.01324,10.1356,0.0,6.29325,501.004,434.998
3420,1.3994,0.123217,6.38462,10.1316,0.0,6.19772,495.531,430.719
3425,1.00389,0.112015,6.79551,10.1321,0.0,6.42121,499.499,426.604
3430,1.02835,0.156821,7.03256,10.1314,0.0,6.51386,519.792,440.98
3435,0.901127,0.36965,7.35653,10.1298,0.0,6.4658,513.903,436.888
3440,1.06015,0.708082,7.70421,10.1291,0.0,6.31005,505.061,426.323
3445,1.15556,0.59368,7.80693,10.1304,0.0,6.60303,499.499,428.998
3450,1.16011,0.67209,7.87805,10.1333,0.0,6.17286,498.004,426.979
3455,1.14951,0.840113,0.0,10.1326,0.0,5.91578,496.517,436.613
3460,1.03138,0.849895,0.0,10.1336,0.0,6.39806,507.114,426.941
3465,0.826917,0.918524,0.0,10.1331,0.0,6.51618,502.518,425.85
3470,0.816315,0.841294,0.0177964,10.1304,0.00607098,6.23481,506.085,428.942
3475,0.445263,0.701395,0.0,10.1345,0.0,6.18968,494.059,435.917
3480,0.49827,0.588532,0.0,10.1348,0.0,5.97481,502.518,424.0
3485,0.392255,0.863421,0.0,10.1344,0.0,5.70904,492.596,431.546
3490,0.402857,0.522171,0.0,10.1367,0.0,5.58108,520.334,434.887
3495,0.275639,0.347247,0.0,10.1353,0.0,6.12245,497.507,436.0
3500,0.318045,0.728098,0.0,10.1364,0.0,6.00433,512.32,437.772
3505,0.222631,0.974531,0.0,10.144,0.0,6.19136,462.894,430.979
3510,0.137819,0.974531,0.0,10.1373,0.0,6.35869,468.985,433.963
3515,0.137819,1.06414,0.0,10.1377,0.0,6.44728,513.903,430.886
3520,0.0845407,1.35538,0.0,10.136,0.0,6.78195,502.518,436.815
3525,0.0315332,1.01934,0.0201818,10.1376,0.0,6.6343,494.549,425.765
3530,0.0842694,0.974531,0.0403636,10.1371,0.0,6.31932,523.61,430.942
3535,0.0103302,1.22096,0.0706363,10.1382,0.0,6.11261,507.63,432.979
3540,0.0605968,1.43379,0.100909,10.1387,0.00896926,6.19136,533.69,437.991
3545,0.0,1.26577,0.100909,0.0,0.0203776,6.29963,506.599,436.943
3550,0.0,1.4562,0.333,0.0,0.0912667,6.65398,494.549,440.943
3555,0.0,1.66902,0.555,0.00981738,0.171125,6.86069,502.518,432.998
3560,0.0,2.02747,0.978818,0.0,0.06845,7.09693,512.847,437.854
3565,0.0107823,2.11708,2.03166,0.0,0.0228167,6.82132,480.269,430.719
3570,0.0,1.92666,3.65637,0.0,0.102675,6.36853,508.147,439.918
3575,0.0,2.04988,4.47035,0.0,0.0570417,6.25041,511.27,434.998
3580,0.0,1.64662,6.03436,0.0,0.0114083,6.89022,482.592,428.886
3585,0.0,1.72503,7.3159,0.0,0.0,6.40636,498.501,424.715
3590,0.0,1.64086,7.63881,0.0,0.0,6.052,521.967,438.0
3595,0.0,1.98267,8.6479,0.0,0.0092397,6.64625,521.967,443.919
3600,0.0,2.02747,9.25336,0.0,0.0,6.74257,494.549,429.991
3605,0.0152906,1.82585,9.67718,0.0,0.0255201,6.80163,503.532,434.998
3610,0.0840982,1.64662,9.76799,0.0,0.0246893,6.80163,505.061,430.942
3615,0.0606873,1.59061,9.80836,0.0,0.0987572,7.28395,483.996,421.659
3620,0.0917435,1.78104,9.83863,0.0,0.0493786,7.1363,516.563,433.963
3625,0.168196,1.90426,9.94963,0.00906537,0.135791,6.87053,491.142,431.769
3630,0.168196,2.37417,9.91936,0.0543922,0.0493786,6.90991,510.225,422.809
3635,0.267585,2.47443,10.0304,0.0467869,0.0246893,6.88038,541.215,445.919
3640,0.244649,2.62115,9.88908,0.0,0.0,6.90006,471.199,432.887
3645,0.282876,2.36137,9.84872,0.0,0.0,7.5694,497.507,425.239
3650,0.328748,2.71768,10.0203,0.0,0.0,7.84501,505.061,428.0
3655,0.0993888,2.59875,10.0606,0.0,0.0,8.03203,505.572,426.0
3660,0.0305812,2.41953,0.0,0.0,0.0694284,8.00196,493.571,433.963
3665,0.12997,2.36352,0.0,0.0,0.146571,7.84012,495.04,432.942
3670,0.336393,2.30751,0.0,0.0,0.123428,8.02561,519.792,439.918
3675,0.336393,2.53154,0.0,0.0,0.177428,7.83426,478.428,428.979
3680,0.25994,1.91546,0.0,0.0,0.123428,7.87742,483.527,432.979
3685,0.359329,2.00507,0.0,0.0,0.0231428,7.89765,486.829,429.963
3690,0.371242,2.13949,0.0,0.0,0.068462,7.98299,494.549,415.846
3695,0.657495,2.2158,0.0,0.0,0.159745,8.08413,487.305,428.811
3700,0.535171,2.57879,0.0,0.0,0.159745,8.05343,496.024,428.998
3705,0.607772,3.13116,0.0,0.0,0.289062,8.17317,497.507,429.991
3710,0.581042,2.83116,0.0334459,0.0,0.228207,8.62117,489.696,438.998
3715,0.550461,3.07656,0.144932,0.0,0.46402,8.73883,508.147,432.942
3720,0.504589,3.39981,0.256419,0.0,0.616158,9.08948,500.502,431.769
3725,0.435782,3.41627,0.487585,0.0,0.890006,9.26494,490.659,411.961
3730,0.443427,3.37006,0.479392,0.0,0.943254,9.45205,511.795,433.77
3735,0.695722,3.34417,0.90304,0.0,1.29317,9.11801,479.808,435.963
3740,0.848628,3.75373,1.05912,0.0,1.10287,9.40518,502.012,436.998
3745,0.69107,4.40219,1.00338,0.0,0.973681,9.5605,511.795,433.917
3750,0.810864,3.66289,1.41588,0.0,1.10245,9.5763,500.0,428.811
3755,0.840982,3.75971,1.99561,0.0,1.31805,9.09923,485.409,427.991
3760,1.19531,3.72942,3.6679,0.0,1.26507,8.99358,505.061,436.979
3765,1.36086,4.63742,4.34797,0.0,1.4262,8.96785,504.55,425.915
3770,1.30735,4.96227,5.66351,0.0,1.25439,9.06708,511.27,431.991
3775,1.16973,4.62622,6.61738,0.0,1.04975,9.67345,496.024,428.0
3780,1.41438,4.98467,8.26861,0.0,1.44531,9.61668,489.696,429.963
3785,1.3838,4.82785,8.99695,0.0,1.34642,9.51972,505.061,434.722
3790,1.64374,4.01014,9.77736,0.0327588,1.51377,9.91596,503.024,434.0
3795,1.50612,5.00707,10.2679,0.0764371,1.66591,9.79747,489.696,428.811
3800,1.59022,5.14149,10.7909,0.294829,1.7724,9.99054,508.665,434.998
3805,1.68196,5.58955,10.9572,0.414944,2.23809,9.74437,511.795,437.918
3810,1.65138,5.36552,11.0231,0.753452,2.24966,9.92468,507.114,432.166
3815,1.55199,5.26471,11.1612,0.80805,2.66873,9.71755,521.421,434.943
3820,1.13915,4.95107,11.1976,1.21207,3.15156,9.8373,469.868,422.979
3825,1.0627,5.00934,0.040716,2.24944,3.34265,9.76289,490.659,434.722
3830,1.5367,4.79566,0.0168785,3.0684,3.54688,9.85473,480.732,428.998
3835,1.6208,4.51421,0.0,4.65174,3.67596,9.93627,504.55,428.979
3840,1.82723,4.45868,0.0,6.28968,3.42718,9.96029,492.11,424.0
3845,1.92446,4.9158,0.0,7.29428,2.92232,9.8224,498.501,428.811
3850,1.77371,5.23589,0.0151569,8.30981,3.25444,9.8224,498.501,431.963
3855,1.34557,5.23376,0.0,8.72475,2.71734,0.0,495.04,438.943
3860,1.42202,5.89395,0.0,9.92591,3.05363,0.0,486.829,432.0
3865,1.67432,6.33795,0.0,10.046,3.10026,0.0,516.563,436.979
3870,1.99542,5.77596,0.0,10.2317,3.14449,0.0,490.177,431.917
3875,1.33028,5.94564,0.0,10.1225,2.85361,0.0,481.66,428.998
3880,1.40873,6.35356,0.0,10.4173,2.62754,0.0,499.499,432.979
3885,1.45659,5.7376,0.0219284,10.6029,2.72485,0.0,499.499,426.998
3890,1.04741,5.49736,0.0,10.6575,3.29654,0.0,507.63,435.853
3895,0.79335,5.05907,0.0,10.7558,2.95147,0.0,512.847,432.942
3900,0.726303,4.56834,0.0,10.8541,2.88301,0.0,538.296,448.944
3905,0.795111,4.37356,0.0,10.8541,3.28617,0.0,478.428,423.962
3910,1.00153,4.74905,0.0,0.0,3.00472,0.0,480.269,422.979
3915,1.07034,4.6692,0.0,0.0,3.38506,0.0,494.059,426.979
3920,1.19267,4.74034,0.0,0.0,3.79584,0.0,498.004,425.962
3925,1.55964,5.14063,0.0,0.0,3.85669,0.0,506.085,437.854
3930,1.74313,4.52283,0.0,0.0,4.01644,0.0,500.502,423.915
3935,1.75587,4.85685,0.0,0.0,4.16857,0.0,477.969,428.942
3940,1.79835,4.66488,0.0,0.0,4.16857,0.0126904,504.04,426.998
3945,2.03097,4.81659,0.0,0.0,3.77302,0.0507617,522.513,435.853
3950,2.44649,4.6614,0.00833072,0.0,3.6437,0.0507617,524.16,441.991
3955,2.43885,4.00554,0.0,0.0,3.77302,0.0134016,520.877,440.49
3960,2.82111,3.63086,0.0,0.00925966,3.99361,0.0,480.732,434.887
3965,2.95873,3.27356,0.0,0.00925966,3.92515,0.0,477.969,422.979
3970,3.2416,3.31227,0.0,0.0925966,4.01644,0.00649765,523.61,444.98
3975,3.02754,2.60572,0.0,0.175934,4.20887,0.0,503.532,434.998
3980,2.73702,2.74631,0.0,0.259271,4.17838,0.0,512.32,434.998
3985,2.75995,2.74709,0.0,0.435204,4.36635,0.0,517.098,440.943
3990,3.10399,2.84518,0.0,0.638917,4.35875,0.0,497.012,431.769
3995,3.20338,3.37165,0.0,0.685215,4.20661,0.0,495.04,427.766
4000,2.94344,3.10272,0.0,0.981524,4.5337,0.0,495.04,430.979
4005,3.08195,3.11352,0.0,1.00004,4.55652,0.0110818,507.63,430.886
4010,3.05871,2.9225,0.0,1.5371,4.82277,0.0,486.829,426.998
4015,2.92815,3.11372,0.0188957,2.70382,4.86841,0.0,481.66,423.962
4020,2.72937,3.52847,0.066135,3.73164,4.60217,0.0,516.029,434.887
4025,2.45414,3.7077,0.132802,4.57427,4.07729,0.0,479.808,426.998
4030,2.41591,3.90933,0.112104,5.10208,4.01644,0.0,506.599,438.487
4035,2.81347,3.92276,0.036521,5.51876,3.79584,0.0,535.983,441.674
4040,2.94344,3.89812,0.0188957,6.18546,3.72737,0.0,495.04,425.962
4045,2.79053,3.39406,0.141718,6.59288,3.33942,0.0,494.549,431.963
4050,2.91286,3.81971,0.321227,7.33365,3.16446,0.0,497.507,430.812
4055,2.77524,4.09979,0.302331,7.57328,3.71977,0.0,487.781,432.998
4060,2.56882,4.33953,0.614111,7.78357,3.36985,0.0,513.374,440.0
4065,2.72937,4.0147,1.28569,8.00983,3.54481,0.0,506.085,438.0
4070,2.2783,3.93219,1.57724,8.26549,3.46874,0.0,481.196,423.764
4075,2.60705,3.58747,1.95571,8.43218,3.5372,0.0,523.61,438.998
4080,2.59175,4.4776,2.20135,8.62122,3.55242,0.0111098,473.884,414.593
4085,2.85169,4.17413,3.67522,8.93397,3.60566,0.0,524.711,434.814
4090,2.31652,4.13057,3.9681,9.22689,3.6437,0.0,510.225,432.979
4095,2.50001,4.37187,4.81054,9.28175,4.03926,0.0127301,478.887,430.979
4100,2.40827,3.8972,5.09239,9.13729,3.84908,0.0127301,482.592,425.991
4105,2.19682,4.02134,5.84822,8.77838,4.07729,0.0269184,518.172,432.887
4110,2.07952,3.99894,6.89952,9.10721,4.07729,0.0,512.847,431.917
4115,2.14068,3.57328,8.03253,9.19193,4.29789,0.0116907,516.029,439.964
4120,2.38533,4.03254,8.79303,9.24497,4.0013,0.0,515.496,435.917
4125,1.92661,3.29324,9.42201,9.14085,3.69868,0.0,490.659,425.962
4130,2.15855,3.38286,9.05856,9.33418,3.80887,0.0,507.63,437.671
4135,1.789,3.67409,9.79859,0.0325175,3.91138,0.0,490.177,422.998
4140,1.97249,3.60718,11.302,0.065035,4.35628,0.0151417,494.549,431.917
4145,2.16928,3.09162,12.6942,0.113811,4.50095,0.045425,496.517,424.885
4150,2.43885,3.76371,13.6893,0.0406469,4.31274,0.0,496.024,429.991
4155,2.63763,3.25881,13.9952,0.0162587,4.64549,0.0,519.792,432.887
4160,2.38533,3.87572,15.1697,0.0162587,4.1311,0.0,502.012,425.962
4165,2.53059,3.99894,16.8893,0.0569056,4.04193,0.0,501.508,438.888
