generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,0.0,0.0,0.0,0.0,0.147506,500.0,430.886
3005,0.0,0.0,0.0,0.0,0.0,0.171974,492.11,428.811
3010,0.0,0.0,0.00670161,0.0,0.0,0.177007,509.704,432.998
3015,0.0,0.0,0.0,0.0,0.0,0.162257,474.786,428.998
3020,0.0,0.0105183,0.0,0.0,0.0,0.118005,468.105,425.85
3025,0.0,0.0420734,0.0,0.0,0.0,0.073753,508.665,432.942
3030,0.0,0.0415162,0.0,0.0,0.0,0.236009,527.484,438.979
3035,0.0,0.0199223,0.0,0.0,0.0,0.396817,493.083,419.99
3040,0.0127463,0.0,0.0,0.0,0.0,0.659429,526.371,442.889
3045,0.0,0.0,0.025791,0.0,0.0,0.500071,506.085,436.998
3050,0.0,0.0,0.0193432,0.0,0.0,0.497173,516.563,436.943
3055,0.0,0.0,0.044071,0.0,0.0,0.354014,508.665,431.852
3060,0.0,0.0,0.0118323,0.0,0.0,0.309762,511.27,432.979
3065,0.0,0.0,0.0,0.0101681,0.0,0.073753,496.517,431.991
3070,0.00713705,0.0,0.0,0.0,0.0,0.354014,512.847,439.964
3075,0.0,0.0,0.0,0.0,0.0,0.221259,481.196,424.885
3080,0.0,0.0,0.0,0.0,0.0,0.147506,492.11,429.916
3085,0.0,0.0,0.0,0.0,0.0,0.118005,512.32,434.814
3090,0.0,0.0,0.0439502,0.0,0.0,0.0,523.061,438.888
3095,0.0,0.0,0.0732503,0.0,0.0,0.0260073,506.085,432.887
3100,0.0206487,0.0,0.0,0.0,0.0,0.0,503.024,438.888
3105,0.0,0.0,0.0,0.0,0.0,0.0,521.967,440.998
3110,0.0,0.0,0.0,0.0,0.0,0.0,502.012,424.715
3115,0.0,0.0,0.0,0.0,0.0,0.0,504.04,431.991
3120,0.0,0.0105301,0.0,0.0,0.0,0.0446238,515.496,441.919
3125,0.0099129,0.0,0.0,0.0,0.0,0.12174,516.029,436.943
3130,0.0793032,0.0,0.0,0.0,0.0,0.268168,500.502,432.998
3135,0.109042,0.0,0.0,0.0,0.0,0.145027,514.964,434.979
3140,0.277561,0.0,0.0,0.0,0.0,0.268598,525.817,431.917
3145,0.356864,0.0,0.0,0.0,0.0,0.305496,513.903,428.886
3150,0.436168,0.0,0.0066848,0.0,0.0,0.196512,499.0,429.544
3155,0.257735,0.0,0.0,0.0168664,0.0,0.302921,504.55,436.888
3160,0.297387,0.0,0.0,0.0,0.0,0.207668,532.551,444.998
3165,0.455993,0.0,0.0,0.0,0.0,0.106409,492.11,428.0
3170,0.346952,0.0,0.0,0.0338852,0.0,0.0197367,526.371,441.991
3175,0.525384,0.0,0.0,0.0,0.0,0.145027,499.499,428.979
3180,0.658462,0.0,0.0,0.0,0.0,0.100404,507.114,431.769
3185,0.617107,0.0,0.0112073,0.0,0.0,0.0557797,473.884,428.159
3190,0.408937,0.0101902,0.0348602,0.0,0.0,0.0319661,492.11,428.998
3195,0.383729,0.0,0.0622282,0.0,0.0,0.151678,504.04,434.943
3200,0.481289,0.0,0.0,0.0,0.0,0.111559,493.083,430.998
3205,0.356864,0.0,0.0,0.0,0.0,0.0557797,482.126,418.0
3210,0.37669,0.0,0.0,0.0,0.0,0.0557797,476.6,433.77
3215,0.297387,0.0,0.0,0.0,0.0,0.0446238,516.029,435.917
3220,0.346952,0.0132214,0.0,0.0,0.0,0.0,502.012,425.662
3225,0.446081,0.0528857,0.0324985,0.00998856,0.0106353,0.0,477.055,426.473
3230,0.505558,0.0,0.0758299,0.0,0.0212707,0.0,518.172,440.98
3235,0.367386,0.0,0.0541642,0.0,0.0106353,0.0,504.04,430.812
3240,0.118955,0.0,0.064997,0.0,0.0,0.0,495.04,432.998
3245,0.277561,0.0,0.0,0.0,0.0,0.0,519.251,432.998
3250,0.297387,0.0,0.0304346,0.0,0.0,0.0297402,493.571,432.942
3255,0.3073,0.0,0.0405795,0.0,0.0,0.0,521.421,438.0
3260,0.664164,0.0,0.0304346,0.00824869,0.0,0.0,505.572,431.667
3265,0.23791,0.0,0.0405795,0.0,0.0,0.0,521.967,435.771
3270,0.267648,0.0,0.0114579,0.0,0.0,0.0,496.517,434.0
3275,0.352503,0.0,0.0229157,0.020024,0.0,0.0,483.996,422.809
3280,0.525384,0.0,0.103121,0.0,0.0,0.0,472.091,428.0
3285,0.733555,0.0,0.103121,0.0,0.0,0.0,512.847,432.979
3290,0.644339,0.0,0.208419,0.0,0.0,0.0,507.63,441.991
3295,0.5372,0.0,0.366652,0.0,0.0,0.0108364,512.32,434.979
3300,0.566641,0.0,0.240615,0.0182173,0.0,0.0,514.433,433.963
3305,0.792536,0.0,0.240615,0.0,0.0,0.0,530.287,436.943
3310,0.818468,0.0,0.217699,0.0101331,0.0,0.0,502.012,433.991
3315,1.01883,0.0,0.446857,0.0,0.0,0.0,484.937,431.917
3320,1.04827,0.0,0.378109,0.0,0.0,0.0,506.599,430.886
3325,0.860023,0.0,0.401025,0.0,0.0106835,0.0,499.499,439.991
3330,0.840396,0.0,0.229157,0.0,0.0,0.0,521.967,439.855
3335,1.17028,0.0,0.148952,0.0,0.0,0.0,504.55,427.664
3340,1.08431,0.0,0.0458314,0.0,0.0,0.0,494.549,432.998
3345,1.28067,0.0,0.0458314,0.0,0.0,0.0,472.091,432.979
3350,1.52058,0.0,0.0229157,0.0,0.0,0.0,471.645,427.542
3355,1.41896,0.0,0.0662178,0.0,0.0,0.0109561,509.184,441.919
3360,1.78803,0.0,0.0535712,0.0100309,0.0,0.0,487.305,433.963
3365,1.87334,0.0,0.116071,0.0601855,0.0,0.0,501.508,434.814
3370,1.68617,0.0,0.0178571,0.0,0.0,0.0,510.747,431.963
3375,1.53738,0.0132736,0.0,0.0,0.0,0.0,483.996,430.942
3380,1.42751,0.0132736,0.0,0.0,0.0218562,0.0,514.433,439.964
3385,0.966877,0.0132736,0.0,0.0110468,0.0,0.0,529.162,437.918
3390,0.884889,0.0,0.0,0.0110468,0.0,0.0,507.63,430.998
3395,1.00785,0.0,0.0,0.0,0.0113104,0.0,507.63,430.998
3400,0.889968,0.0,0.0,0.0,0.0904835,0.0,516.563,436.979
3405,1.08823,0.0,0.0,0.0,0.124415,0.00920785,489.696,430.886
3410,1.22862,0.0,0.0,0.0,0.214898,0.0,484.466,425.765
3415,1.15683,0.0,0.0,0.0,0.233489,0.0,481.66,429.991
3420,1.15719,0.00982553,0.0,0.0,0.357904,0.0112072,503.532,442.889
3425,0.880828,0.0,0.0352467,0.0,0.339313,0.0,464.186,427.916
3430,0.870405,0.0,0.0,0.0,0.350624,0.0,518.711,437.854
3435,0.733555,0.0,0.0,0.00652652,0.27145,0.0,493.083,426.941
3440,0.644339,0.0,0.0610205,0.0,0.22562,0.0,501.508,427.991
3445,0.842597,0.0,0.126372,0.0,0.135725,0.0,474.786,429.851
3450,0.783119,0.0,0.143235,0.0,0.0904835,0.0,533.12,436.0
3455,0.70005,0.0,0.0108919,0.0,0.135725,0.0194481,486.829,429.991
3460,0.505558,0.0,0.0,0.0,0.24883,0.0113998,479.808,433.917
3465,0.502918,0.0,0.0233789,0.010921,0.203588,0.0,507.114,437.963
3470,0.697579,0.0,0.0,0.0,0.328003,0.0,517.635,438.979
3475,0.590909,0.0,0.0,0.0111233,0.395865,0.0,500.0,428.979
3480,0.318014,0.0,0.0241584,0.0,0.542901,0.00989381,504.04,440.0
3485,0.213518,0.0487908,0.0,0.0,0.723868,0.00989381,483.996,422.0
3490,0.222392,0.0585489,0.0315542,0.0,0.554211,0.0197876,490.177,417.914
3495,0.164537,0.0487908,0.0,0.0,0.497659,0.0,500.0,426.941
3500,0.0915101,0.00975816,0.0,0.00818207,0.678626,0.0,525.817,440.889
3505,0.141075,0.0,0.0,0.00818207,0.972698,0.00996077,506.599,433.991
3510,0.205258,0.0,0.0166535,0.0,1.01794,0.0121193,494.549,439.964
3515,0.0594774,0.0,0.0,0.0,1.3007,0.0,511.27,434.998
3520,0.00742597,0.0,0.0,0.0,1.23284,0.0,516.029,436.998
3525,0.0445558,0.0,0.0,0.0,1.31201,0.0,510.747,434.998
3530,0.0594077,0.0,0.0,0.0,0.972698,0.0,490.659,424.979
3535,0.0445558,0.0,0.0158074,0.0,0.938766,0.0,501.508,428.998
3540,0.0148519,0.0,0.0,0.0155979,1.01794,0.0,504.04,434.483
3545,0.0,0.0,0.0175418,0.0431876,1.07449,0.0,498.501,425.915
3550,0.0,0.0,0.00877088,0.0,1.25546,0.0,518.172,442.998
3555,0.0,0.0,0.0,0.0,1.14235,0.0,521.967,434.998
3560,0.0,0.0,0.0,0.0,1.02925,0.0,486.355,425.915
