generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0451502,1.73849,0.0,0.0,0.0,5.27846,490.177,432.0
3005,0.0889913,1.62705,0.0,0.0,0.00837948,5.39238,509.184,434.979
3010,0.0451502,2.46286,0.0,0.0,0.0418974,5.67278,479.808,429.916
3015,0.0827754,2.15133,0.0,0.00959184,0.0586564,5.43316,508.665,431.852
3020,0.158026,2.00595,0.0,0.0479592,0.0370579,4.74577,506.085,430.998
3025,0.248326,2.1954,0.0,0.0863266,0.0429214,4.22345,506.085,436.0
3030,0.353677,2.16197,0.0,0.0671429,0.0365899,4.76357,503.532,436.998
3035,0.744979,1.72734,0.0,0.0287755,0.0,4.24578,482.126,418.463
3040,0.760029,2.1954,0.0,0.0287755,0.0,4.57283,544.76,441.964
3045,0.887955,2.27341,0.0,0.0479592,0.0,4.08329,531.983,438.943
3050,0.639628,1.78307,0.0,0.0,0.0,4.06734,524.16,433.963
3055,0.586904,1.67163,0.0,0.0,0.0,4.15689,499.0,437.963
3060,0.526555,1.83879,0.0,0.0,0.0,4.08655,526.927,438.979
3065,0.474078,2.00595,0.0,0.0245315,0.0,4.45598,529.162,440.0
3070,0.443977,1.98366,0.0,0.0269232,0.0,4.39645,498.004,428.998
3075,0.541803,1.8165,0.0,0.0538465,0.0,4.58634,482.592,425.991
3080,0.752504,1.90566,0.0277329,0.0420013,0.0182761,4.45881,514.964,432.979
3085,0.654679,2.05053,0.0,0.0518908,0.0,5.23568,507.114,435.917
3090,0.714879,1.87222,0.0,0.164748,0.0,5.07907,491.142,426.885
3095,1.06103,1.63819,0.0,0.0266535,0.0,4.75181,519.792,427.991
3100,1.11371,1.82765,0.0,0.0,0.0,5.16721,506.599,436.998
3105,1.22658,2.13968,0.0,0.0,0.0,4.98807,495.04,434.611
3110,1.17391,2.23998,0.0,0.0,0.0,4.67722,484.466,427.991
3115,0.948155,2.08396,0.010882,0.0,0.0,5.0145,503.532,433.77
3120,0.760029,2.56316,0.0,0.0,0.0,4.8282,502.012,441.991
3125,0.827754,2.36257,0.0,0.0,0.0107385,4.99746,481.196,433.991
3130,0.496653,2.12854,0.0,0.0,0.0125386,4.8193,505.061,437.772
3135,0.428927,2.02824,0.0,0.0,0.062693,4.97964,491.142,422.809
3140,0.504178,2.15083,0.0,0.0,0.123247,4.80148,489.216,427.85
3145,0.568333,2.47401,0.0,0.0,0.188079,5.28252,503.532,430.998
3150,0.797654,2.59659,0.0,0.0,0.225695,5.62103,509.184,440.943
3155,1.28678,2.66138,0.0,0.0,0.488236,6.12879,522.513,438.888
3160,1.45986,2.66346,0.00894477,0.0,0.614391,6.78799,501.508,433.917
3165,1.49627,2.36257,0.0,0.0,0.639469,6.70782,511.27,424.0
3170,1.5996,2.20655,0.00993946,0.0,0.564237,7.07305,489.696,426.0
3175,1.79525,2.48515,0.00618342,0.015875,0.476467,6.52075,508.665,429.916
3180,1.76228,2.68575,0.0,0.0,0.45139,6.30695,506.085,432.0
3185,1.76586,2.59659,0.0,0.0,0.363619,6.33368,493.571,429.916
3190,1.72717,2.27341,0.0,0.0,0.564237,6.50293,545.355,439.855
3195,2.39115,2.22884,0.0,0.0,0.213156,6.75236,496.517,436.943
3200,2.93683,2.38997,0.0,0.0,0.112847,6.68109,475.238,422.979
3205,3.43549,2.41829,0.0,0.0,0.0694251,6.52965,473.884,426.998
3210,3.10702,2.98664,0.0,0.0,0.0877702,6.66328,505.061,439.991
3215,2.6968,3.16495,0.0,0.0,0.0376158,6.5831,512.32,438.979
3220,2.98247,2.85291,0.0,0.0,0.0877702,6.51774,496.517,424.941
3225,3.16262,3.02007,0.0,0.0131334,0.100309,6.88598,513.903,437.963
3230,3.46734,3.42126,0.0,0.0262669,0.062693,7.14432,502.012,426.323
3235,3.57304,3.38783,0.0,0.118201,0.112847,7.60833,487.781,436.998
3240,3.67154,3.47698,0.0,0.0131334,0.112847,7.97515,504.04,434.943
3245,4.26731,3.20952,0.0,0.0,0.137925,7.88766,498.501,416.94
3250,4.3212,3.23181,0.0688398,0.0,0.188079,8.06247,523.61,432.61
3255,4.11683,3.27639,0.0688398,0.00797902,0.062693,8.30995,481.196,431.991
3260,4.1615,2.80833,0.0,0.0,0.0877702,8.29628,513.374,438.998
3265,3.70662,2.63003,0.0,0.0,0.0376158,8.08901,497.012,433.991
3270,3.3397,2.42943,0.0,0.033687,0.0501544,8.35546,507.114,434.979
3275,3.77712,2.50557,0.0,0.0,0.0752316,8.37504,476.145,431.25
3280,3.70388,2.26227,0.0,0.0,0.111221,8.48768,504.04,430.0
3285,3.9632,1.38188,0.0,0.0,0.062693,8.19944,526.371,446.98
3290,4.33269,1.31501,0.00920591,0.0,0.0,7.97356,511.27,438.0
3295,4.21304,1.08779,0.0,0.0,0.0,7.55591,499.0,427.664
3300,3.71636,1.42703,0.0,0.0,0.0,7.31992,537.137,441.964
3305,3.88003,1.13105,0.0,0.0,0.0,7.02851,511.27,434.943
3310,3.8937,1.40134,0.0113666,0.0,0.00777578,6.76127,479.347,424.979
3315,4.10022,1.67068,0.0,0.0120632,0.0,6.9127,498.004,425.915
3320,4.49434,2.03844,0.0,0.0,0.0,7.14432,525.817,433.991
3325,4.87415,2.1242,0.00849561,0.0,0.0,6.96615,504.55,436.943
3330,4.34076,2.07282,0.0339825,0.0814319,0.0,6.24459,492.596,433.917
3335,4.35578,2.10625,0.0254868,0.0,0.0,6.44948,516.029,430.942
3340,3.81261,2.396,0.0,0.0,0.0,6.69891,514.964,434.998
3345,3.58444,2.75261,0.0,0.0,0.0,7.13541,490.177,426.885
3350,3.59036,2.83062,0.0,0.0078135,0.0,7.28685,512.847,434.0
3355,3.97249,3.59957,0.0,0.0,0.0,7.13541,503.532,434.943
3360,4.1033,3.62186,0.0,0.0,0.0,7.17995,523.61,438.0
3365,3.65873,3.43241,0.0,0.0,0.0,7.54518,477.512,428.0
3370,3.4803,3.40846,0.0111507,0.0,0.0,7.43828,495.531,428.942
3375,3.71407,3.58586,0.0,0.00911964,0.0,7.39374,514.433,436.979
3380,3.52398,3.23136,0.0,0.100316,0.0,7.41156,505.061,432.942
3385,3.28318,3.0279,0.0151908,0.0911964,0.0,7.80352,478.887,426.717
3390,3.41491,2.57431,0.00759542,0.100316,0.0,7.86691,518.172,431.769
3395,3.66895,2.91978,0.0303817,0.0922528,0.0,7.79461,497.507,432.998
3400,3.79825,2.83062,0.0531679,0.0605029,0.0,7.99059,519.251,438.998
3405,4.2386,2.07282,0.136718,0.166604,0.0,8.15984,509.184,429.916
3410,3.74849,1.80536,3.80873,4.12208,0.0113959,8.48944,268.28,325.272
3415,4.23943,1.82765,6.51687,7.76081,0.0,8.6676,432.409,407.02
3420,3.90616,1.82765,7.33718,8.88253,0.0119067,8.75669,490.177,424.809
3425,3.80763,2.12854,7.54985,9.02844,0.0,8.73887,502.518,432.998
3430,3.61879,2.75261,0.0,9.1014,0.0340572,8.69433,502.518,428.0
3435,3.464,3.03052,0.0,0.0,0.0,8.64979,472.091,426.979
3440,3.96388,1.98366,0.0,0.0,0.0,8.75669,477.969,427.916
3445,4.47129,1.79421,0.0,0.0,0.0,8.82795,508.665,430.998
3450,4.69239,1.68277,0.0,0.0,0.0,8.86291,490.659,429.991
3455,4.75583,1.88337,0.0,0.0,0.0,8.8814,505.572,432.942
3460,4.91385,1.95023,0.0,0.0104723,0.0,0.0358079,514.433,440.998
3465,4.81603,1.86693,0.0,0.0119753,0.0,0.0358079,534.834,434.943
3470,4.5376,1.9899,0.0,0.047901,0.0175189,0.0,480.732,427.85
3475,4.37957,1.81801,0.0056269,0.371233,0.00875946,0.0,469.426,426.941
3480,4.49245,1.94589,0.0380456,2.33463,0.0,0.0,437.719,425.399
3485,4.51502,1.78401,0.106911,6.10889,0.0,0.0106872,474.335,427.991
3490,4.87623,1.76465,0.450152,9.54722,0.0,0.0213743,488.258,425.54
3495,4.97405,1.5947,1.36171,11.2553,0.0142306,0.064123,483.996,427.991
3500,5.0493,1.45809,2.29578,11.7365,0.0711532,0.0961845,489.216,439.773
3505,4.83108,1.11442,3.4718,11.9371,0.0284613,0.0,466.791,423.396
3510,4.63543,0.802381,4.46515,0.0,0.0,0.0,480.732,427.963
3515,4.40967,0.846958,5.04869,0.0,0.0,0.0,521.967,424.979
3520,4.66553,1.08826,5.73942,0.0,0.0139579,0.0,466.355,417.847
3525,4.7182,0.869246,6.57544,0.0,0.0628104,0.0,491.142,437.553
3530,4.68058,0.791237,8.33051,0.0,0.010852,0.00953568,454.049,415.962
3535,4.69563,0.681142,9.89552,0.0,0.0,0.0,473.884,421.659
3540,4.57522,0.514701,11.0014,0.0,0.0,0.0,495.531,421.232
3545,4.8085,0.445767,6.83334,0.021047,0.0,0.0,482.126,420.998
3550,5.3202,0.557209,8.2253,0.126282,0.0,0.0,498.004,430.812
