generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,0.049728,0.273852,0.0,0.0,0.0,506.599,437.087
3005,0.0,0.0958189,0.161203,0.0,0.0,0.0101912,507.114,435.991
3010,0.0107246,0.049728,0.0228956,0.0,0.0,0.0,485.409,425.915
3015,0.0,0.0,0.0,0.0,0.0,0.0,483.996,426.717
3020,0.0,0.0,0.0,0.0,0.0,0.0,491.626,428.811
3025,0.0,0.015315,0.0,0.0104625,0.0,0.0,537.716,443.964
3030,0.0,0.0,0.00807372,0.0313875,0.0,0.0,510.225,434.943
3035,0.0,0.0,0.0,0.062775,0.0,0.0,500.0,424.715
3040,0.0236619,0.0,0.0353332,0.0941625,0.0,0.0,495.04,435.853
3045,0.058766,0.0,0.0353332,0.272025,0.0,0.0,529.162,440.998
3050,0.0,0.0,0.0588886,0.0732375,0.0,0.0,484.937,432.942
3055,0.0,0.0,0.0942218,0.156937,0.0,0.0,491.626,432.721
3060,0.0,0.0,0.0706664,0.145069,0.0,0.0114975,511.795,446.98
3065,0.0,0.0,0.176666,0.0431305,0.0,0.0,525.263,437.918
3070,0.0,0.0,0.0,0.053593,0.0,0.0,495.531,418.979
3075,0.0,0.0113839,0.0,0.0856207,0.0,0.0,511.27,436.943
3080,0.0,0.00634898,0.0,0.0634152,0.0,0.0,529.724,441.991
3085,0.0,0.0,0.0,0.115087,0.0195801,0.0,520.334,432.998
3090,0.0,0.0,0.0,0.00815139,0.0,0.0,493.083,432.998
3095,0.0,0.0,0.0112106,0.0,0.0,0.0,485.409,428.998
3100,0.0,0.0,0.0,0.0,0.0,0.0,506.085,428.718
3105,0.0179789,0.0,0.0,0.0,0.0,0.0,499.0,436.613
3110,0.012462,0.0,0.0,0.0,0.0,0.0,496.024,432.979
3115,0.0,0.0,0.0,0.0,0.0,0.0,475.691,438.0
3120,0.0,0.0122048,0.0,0.0,0.0,0.0,476.6,423.991
3125,0.0103643,0.0,0.0,0.0,0.0103859,0.0,506.599,442.98
3130,0.0,0.0493593,0.0163891,0.0,0.0,0.0,484.937,425.85
3135,0.0219018,0.0,0.0,0.0,0.0,0.0,489.696,430.0
3140,0.0219018,0.0,0.0,0.0,0.0,0.00961826,499.499,429.991
3145,0.0241841,0.0,0.00859044,0.0,0.0,0.0,493.571,436.943
3150,0.0,0.0,0.0,0.0,0.0,0.0,484.466,428.998
3155,0.0,0.0,0.0,0.0,0.0,0.0,483.996,430.979
3160,0.0,0.0,0.0,0.0,0.0,0.0,495.531,426.717
3165,0.0058652,0.0,0.0,0.0,0.0,0.0,512.32,436.998
3170,0.0,0.0,0.0,0.0,0.0,0.0,512.32,428.979
3175,0.0113076,0.0,0.0,0.0,0.00860477,0.00678083,510.225,437.772
3180,0.0,0.0,0.0,0.0,0.0,0.0339042,500.502,426.979
3185,0.0,0.0,0.0,0.0,0.0,0.155959,487.305,426.941
3190,0.0,0.0,0.0,0.0,0.00742295,0.122055,480.732,432.887
3195,0.0,0.0,0.0,0.0,0.0,0.128836,524.16,437.963
3200,0.0,0.0,0.0,0.0,0.0,0.101712,486.829,432.998
3205,0.0,0.0,0.0,0.0,0.0104505,0.115274,498.501,436.998
3210,0.0,0.00753463,0.0,0.0,0.020901,0.155959,512.847,428.942
3215,0.0,0.0,0.0,0.0,0.020901,0.203425,502.518,432.887
3220,0.0,0.0,0.0,0.0,0.0517842,0.142397,501.508,438.615
3225,0.00739941,0.0,0.0,0.0,0.17438,0.210206,495.531,433.963
3230,0.0147988,0.0,0.0153493,0.0,0.153948,0.135617,516.563,445.964
3235,0.0,0.0224477,0.0,0.0,0.361084,0.040685,526.927,441.991
3240,0.0,0.0095219,0.0,0.0,0.333193,0.0542467,526.371,441.674
