generation, v1, v2, v3, q, v4, v5, nef, nes
3000,2.22563,0.0,0.0,6.2015,0.887865,1.49165,505.572,432.887
3005,2.36407,0.0757317,0.0,6.39749,0.618134,1.43396,491.626,432.998
3010,2.002,0.162282,0.0,6.02407,0.606895,1.34331,475.238,424.809
3015,1.82097,0.0432753,0.0,6.37548,0.571265,1.09608,492.596,424.998
3020,2.17361,0.0324564,0.0,7.10605,0.632958,1.07135,481.196,431.963
3025,2.40666,0.0,0.0,7.41672,0.983033,0.931252,511.795,440.998
3030,1.96832,0.0,0.0,7.77519,1.09135,0.716982,517.635,439.991
3035,1.78902,0.00899638,0.0,8.24108,1.42229,0.749946,507.63,430.979
3040,1.55475,0.0,0.0,8.82068,1.35869,0.477988,490.177,427.963
3045,1.08619,0.0,0.0,8.94929,1.54808,0.461506,533.69,433.991
3050,1.34177,0.0125303,0.0,9.22468,1.62101,0.255476,525.817,435.853
3055,1.39499,0.157171,0.0,9.08207,1.84,0.403817,500.0,428.998
3060,1.21398,0.125303,0.0,8.93171,2.1707,0.568641,508.147,442.0
3065,1.11814,0.137834,0.0,9.06416,2.67244,0.486792,508.147,441.855
3070,1.16074,0.0250607,0.0,8.79727,2.87832,0.355497,482.592,425.991
3075,0.841267,0.0,0.0,8.70098,2.7468,0.2802,513.374,436.723
3080,0.575043,0.0,0.0,8.99878,2.40079,0.370853,525.263,448.944
3085,0.521799,0.0,0.0376193,9.51286,2.00002,0.263717,497.012,432.979
3090,0.543096,0.0114976,0.310359,9.50939,1.89098,0.230753,489.696,436.943
3095,0.436607,0.0,0.808814,9.73521,1.8575,0.35437,489.216,423.849
3100,0.585692,0.0,1.89977,10.0127,2.1643,0.749946,471.199,424.809
