generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,0.0,0.0,12.3981,0.00954635,0.0601286,483.996,428.0
3005,0.0,0.0,0.0,12.006,0.0190927,0.100214,508.665,426.998
3010,0.0,0.0352319,0.0,12.2946,0.0668244,0.0267238,528.042,426.979
3015,0.0,0.0,0.0,12.3624,0.0294853,0.00668095,503.024,433.917
3020,0.0,0.0,0.0,12.4621,0.0623556,0.0133619,503.532,437.854
3025,0.0,0.0,0.0,12.5551,0.124711,0.0,497.012,425.85
3030,0.0,0.0,0.0,12.0872,0.22657,0.0,526.927,434.814
3035,0.0,0.0,0.00774299,12.0081,0.186033,0.0,498.004,439.991
3040,0.0,0.0,0.0,11.5121,0.193325,0.0,491.142,425.915
3045,0.0,0.0,0.0,11.8907,0.281691,0.0,493.083,425.85
3050,0.0,0.0,0.0,11.3156,0.418862,0.0,530.287,444.89
3055,0.0,0.0,0.0,11.3714,0.849093,0.0,496.517,438.998
3060,0.0,0.0,0.0,11.6274,0.834566,0.0,484.466,425.962
3065,0.0,0.0,0.0106623,11.6409,0.887677,0.0,498.501,432.721
3070,0.0,0.0,0.0,10.0178,0.709607,0.0,509.704,427.963
3075,0.0,0.0,0.0,10.7585,0.824287,0.0,472.986,416.94
3080,0.0,0.00922762,0.0,10.007,0.893821,0.0,483.527,431.963
3085,0.0,0.0822365,0.0105442,10.2034,0.598637,0.0,496.024,430.942
3090,0.0,0.00922762,0.0,9.94366,0.71709,0.0,491.142,428.718
3095,0.0,0.0,0.0220901,9.26959,0.904157,0.0,475.691,430.979
3100,0.0,0.0,0.0110451,8.19896,1.18476,0.0,468.545,416.998
