generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,0.0,0.011439,0.0682459,0.0,0.177105,506.085,433.963
3005,0.0,0.0,0.0915123,0.0,0.0,0.15573,519.251,445.857
3010,0.0,0.0,0.285556,0.0,0.0,0.145348,491.626,437.918
3015,0.0,0.0207046,0.24022,0.0,0.0,0.134966,515.496,435.991
3020,0.0,0.0724663,0.205903,0.0,0.0,0.143887,493.571,432.979
3025,0.0,0.113876,0.193857,0.0,0.0,0.134966,503.532,442.889
3030,0.0,0.155285,0.228781,0.0,0.0,0.280315,504.04,434.887
3035,0.0,0.0724663,0.148707,0.0,0.0,0.402874,502.518,437.854
3040,0.0,0.113876,0.171586,0.0,0.0117431,0.448709,490.659,430.998
3045,0.0,0.0724663,0.0343171,0.0,0.0,0.404899,496.517,436.0
3050,0.0,0.0207046,0.02369,0.0,0.0,0.373753,514.964,437.963
3055,0.0,0.0,0.0122509,0.00587493,0.0,0.259551,526.927,439.855
3060,0.0,0.0127445,0.0612546,0.0,0.0,0.0830562,487.305,429.991
3065,0.0,0.0382334,0.0490037,0.0,0.0,0.0519101,519.792,436.998
3070,0.0,0.0892112,0.0,0.0,0.0,0.0415281,524.16,440.0
3075,0.0,0.0892112,0.0,0.0,0.0,0.0830562,485.881,427.916
3080,0.0,0.113942,0.0,0.0,0.0,0.0311461,491.142,434.979
3085,0.0,0.101198,0.0,0.0,0.0110691,0.0311461,504.04,433.991
3090,0.0,0.0892112,0.0,0.0,0.0332074,0.0207641,504.04,433.963
3095,0.0,0.0,0.0358966,0.0,0.00553457,0.0311461,484.937,424.941
3100,0.0229991,0.0,0.0598276,0.011364,0.00553457,0.0,486.355,417.962
