generation, v1, v2, v3, q, v4, v5, nef, nes
3000,0.0,0.0,0.0,0.682415,0.0,0.0,499.0,434.979
3005,0.0,0.0115998,0.0,0.419948,0.0,0.0,503.024,430.979
3010,0.0,0.0115998,0.0,0.275591,0.0,0.0373932,509.704,436.0
3015,0.0,0.0,0.0,0.183727,0.0,0.0467415,505.061,429.991
3020,0.0,0.0396822,0.0196353,0.153578,0.0,0.0,520.334,437.918
3025,0.0,0.109126,0.0392706,0.12343,0.0,0.0,499.0,430.719
3030,0.0,0.277775,0.061507,0.217244,0.0,0.0,477.512,422.941
3035,0.0,0.208331,0.0196353,0.326133,0.0,0.0,537.137,441.964
3040,0.0,0.158729,0.0589059,0.339256,0.0,0.0,512.32,431.667
3045,0.0,0.218252,0.00981766,0.19685,0.0,0.0,492.596,426.979
3050,0.0,0.257934,0.029453,0.0393701,0.0,0.0,493.571,425.915
3055,0.0,0.357735,0.0490883,0.144357,0.0,0.0,534.834,445.857
3060,0.0,0.36706,0.147265,0.0262467,0.0,0.0,522.513,440.889
3065,0.0,0.287696,0.0,0.0,0.0,0.0,483.059,426.979
3070,0.0107354,0.426583,0.0,0.0,0.00990707,0.0,483.059,426.998
3075,0.0,0.531551,0.0,0.0,0.0,0.0,502.012,428.811
3080,0.0442544,0.436504,0.0,0.00957877,0.0,0.0,484.466,424.941
3085,0.0890893,0.446424,0.0,0.0123395,0.0,0.0237721,498.501,428.942
3090,0.148482,0.307537,0.0,0.0,0.0,0.0934938,508.147,439.773
3095,0.146692,0.18849,0.0,0.0,0.0,0.0370786,514.964,430.812
3100,0.158381,0.36706,0.0,0.0,0.0,0.0,494.549,428.998
