generation, v1, v2, v3, q, v4, v5, nef, nes
3000,3.02986,0.0,0.00975485,0.324786,0.0,0.0,511.795,437.991
3005,3.21923,0.0,0.0,0.435986,0.0,0.0,498.501,425.85
3010,3.33284,0.0,0.00905382,0.562573,0.0,0.0,502.518,432.942
3015,3.1561,0.0,0.0,0.538935,0.00885104,0.0,523.061,437.963
3020,3.13085,0.0,0.0,0.767212,0.0,0.00823183,482.126,429.963
3025,3.1561,0.0192292,0.0,0.964854,0.0,0.0,461.61,424.979
3030,3.91357,0.0673021,0.0,0.813509,0.0,0.0,513.903,439.964
3035,3.52221,0.0769167,0.0,0.794067,0.0,0.0,490.659,428.979
3040,3.35809,0.0865313,0.0,0.711961,0.0,0.0,494.549,426.979
3045,3.44646,0.163448,0.0,0.841765,0.0,0.0150484,487.305,437.918
3050,3.19398,0.0673021,0.0,0.657969,0.0,0.0,495.531,430.998
3055,3.16873,0.12499,0.0,0.863305,0.021255,0.0130479,515.496,436.485
3060,3.10424,0.134604,0.0,0.774484,0.0,0.0391436,470.311,424.885
3065,3.29321,0.144219,0.0,0.814488,0.01098,0.260957,490.659,432.0
3070,3.42122,0.153833,0.0100198,0.317655,0.0,0.332199,510.225,432.979
3075,3.02986,0.182677,0.160317,0.563974,0.0,0.649266,504.04,437.854
3080,3.45909,0.326896,0.340674,0.90205,0.0,0.43058,487.305,428.0
3085,3.24447,0.269208,0.701388,1.08473,0.0,0.391436,504.04,433.853
3090,3.24447,0.278823,1.01222,0.482987,0.0,0.234862,514.433,435.917
3095,3.76207,0.0673021,1.12244,0.532218,0.0314807,0.195718,499.499,432.942
3100,3.81257,0.144219,1.513,0.986252,0.0209871,0.234862,511.795,433.963
